OrderID,Date,ProductID,Product,Category,Quantity,Price,Customer,BranchID
ORD-100000,2024-11-23,P002,Tea,beverage,3,3.00,Sara Ali,DAR-DAM-01
ORD-100001,2024-12-12,P009,Apple,produce,5,1.14,Omar Youssef,SUZ-SUZ-01
ORD-100002,2024-04-29,P009,Apple,Produce,1,1.32,Ahmed Kamal,CAI-DOW-01
ORD-100003,2024-04-22,P008,Pasta,Grocery,3,4.00,Fatma Said,MNF-SHB-01
ORD-100004,2024-05-22,P003,Milk,Dairy,3,3.5,Fatma Said,CAI-DOW-01
ORD-100005,2024-06-25,P010,Banana,Produce,1,0.95,Ahmed Kamal,ALX-SMO-01
ORD-100006,2024-02-10,P009,Apple,Produce,5,1.20,John Smith,CAI-DOW-01
ORD-100007,2024-12-04,P004,Bread,Bakery,1,2.5,,CAI-DOW-01
ORD-100008,2024-11-21,P006,Chicken,Meat,3,7.50,Sara Ali,ALX-SMO-01
ORD-100009,2024-11-07,P003,Milk,Dairy,2," 3.50 ",Omar Youssef,ISL-FAI-01
ORD-100010,2024-12-16,P006,Chicken,Meat,2,$7.50,Sara Ali,GHAR-TAN-01
ORD-100011,2024-04-18,P010,Banana,Produce,2," 0.95 ",,CAI-HEL-03
ORD-100012,2024-03-14,P005,Cheese,Dairy,2,$4.95,Ahmed Kamal,GIZ-DOK-01
ORD-100013,2024-10-25,P007,Rice,grocery,2," 5.50 ",John Smith,SUZ-SUZ-01
ORD-100014,2024-02-26,P003,Milk,Dairy,4,3.8500000000000005,,CAI-DOW-01
ORD-100015,2024-09-27,P005,Cheese,Dairy,1,$4.50,Fatma Said,MNF-SHB-01
ORD-100016,2024-02-27,P005,Cheese,Dairy,2,4.2749999999999995,Mona Adel,LUX-LUX-01
ORD-100017,2024-09-13,P003,Milk,dairy,1,3.50,Mohamed Hassan,DAR-DAM-01
ORD-100018,2024-10-03,P009,Apple,produce,5," 1.20 ",Fatma Said,MNF-SHB-01
ORD-100019,2024-06-06,P004,Bread,bakery,2,2.75,,QAL-BAN-01
ORD-100020,2024-02-05,P009,Apple,produce,2,1.14,Ahmed Kamal,GIZ-6OCT-02
ORD-100021,2024-04-18,P009,Apple,Produce,3,$1.14,,LUX-LUX-01
ORD-100022,2024-03-02,P004,Bread,Bakery,1,2.5,Omar Youssef,DAR-DAM-01
ORD-100023,2024-10-28,P004,Bread,bakery,1,2.50,John Smith,GIZ-DOK-01
ORD-100024,2024-06-18,P002,Tea,beverage,2," 3.00 ",Mohamed Hassan,CAI-DOW-01
ORD-100025,2024-10-19,P010,Banana,produce,2," 0.95 ",Sara Ali,MNF-SHB-01
ORD-100026,2024-12-03,P007,Rice,Grocery,4," 5.22 ",John Smith,SUZ-SUZ-01
ORD-100027,2024-12-10,P002,Tea,beverage,4,3.0,Omar Youssef,CAI-DOW-01
ORD-100028,2024-10-01,P008,Pasta,Grocery,4,$4.00,Sara Ali,LUX-LUX-01
ORD-100029,2024-08-14,P009,Apple,Produce,1,1.32,Omar Youssef,LUX-LUX-01
ORD-100030,2024-03-26,P007,Rice,Grocery,4," 5.50 ",Mohamed Hassan,SHR-ZAG-01
ORD-100031,2024-07-13,P001,Coffee,Beverage,3,$3.80,,DAR-DAM-01
ORD-100032,2024-03-20,P004,Bread,Bakery,2,2.5,John Smith,MNF-SHB-01
ORD-100033,2024-01-26,P010,Banana,produce,5,1.10,Sara Ali,QAL-BAN-01
ORD-100034,2024-04-05,P002,Tea,beverage,1," 3.00 ",Omar Youssef,GIZ-DOK-01
ORD-100035,2024-10-23,P010,Banana,Produce,5," 1.00 ",Fatma Said,QAL-BAN-01
ORD-100036,2024-05-13,P004,Bread,bakery,2," 2.50 ",Mona Adel,ALX-SMO-01
ORD-100037,2024-08-22,P006,Chicken,meat,1,7.125,Omar Youssef,DAR-DAM-01
ORD-100038,2024-09-16,P005,Cheese,Dairy,3,4.50,Mohamed Hassan,CAI-DOW-01
ORD-100039,2024-08-12,P009,Apple,Produce,5,1.32,Mona Adel,GHAR-TAN-01
ORD-100040,2024-12-05,P002,Tea,Beverage,3,3.0,Mohamed Hassan,CAI-HEL-03
ORD-100041,2024-05-19,P005,Cheese,Dairy,2,4.50,Mona Adel,SHR-ZAG-01
ORD-100042,2024-09-15,P008,Pasta,Grocery,1," 4.00 ",John Smith,CAI-HEL-03
ORD-100043,2024-01-02,P006,Chicken,Meat,3," 7.50 ",Ahmed Kamal,CAI-HEL-03
ORD-100044,2024-10-14,P001,Coffee,Beverage,1,4.0,Mohamed Hassan,DAR-DAM-01
ORD-100045,2024-08-08,P003,Milk,Dairy,3,3.5,Omar Youssef,CAI-HEL-03
ORD-100046,2024-12-15,P004,Bread,Bakery,3," 2.75 ",Mohamed Hassan,CAI-DOW-01
ORD-100047,2024-05-01,P003,Milk,Dairy,4,3.50,Fatma Said,SHR-ZAG-01
ORD-100048,2024-07-29,P004,Bread,Bakery,2," 2.50 ",,DAR-DAM-01
ORD-100049,2024-04-23,P004,Bread,bakery,3,2.50,Omar Youssef,SUZ-SUZ-01
ORD-100050,2024-07-23,P006,Chicken,Meat,1,$7.50,Ahmed Kamal,LUX-LUX-01
ORD-100051,2024-12-13,P009,Apple,produce,1,$1.20,Mona Adel,CAI-HEL-03
ORD-100052,2024-01-20,P002,Tea,Beverage,4,$3.00,Sara Ali,ALX-MAN-02
ORD-100053,2024-07-16,P010,Banana,produce,3," 1.00 ",Omar Youssef,CAI-HEL-03
ORD-100054,2024-07-05,P007,Rice,Grocery,3,$6.05,Sara Ali,QAL-BAN-01
ORD-100055,2024-06-02,P009,Apple,Produce,4," 1.20 ",Mohamed Hassan,MNF-SHB-01
ORD-100056,2024-04-08,P007,Rice,Grocery,2,$6.05,John Smith,MNF-SHB-01
ORD-100057,2024-06-04,P005,Cheese,Dairy,4,$4.95,,GHAR-TAN-01
ORD-100058,2024-12-11,P004,Bread,bakery,4,2.5,Fatma Said,LUX-LUX-01
ORD-100059,2024-02-17,P004,Bread,bakery,2,2.50,Omar Youssef,SHR-ZAG-01
ORD-100060,2024-08-31,P010,Banana,Produce,4,0.95,Ahmed Kamal,ISL-FAI-01
ORD-100061,2024-09-10,P007,Rice,Grocery,2,5.5,Omar Youssef,ALX-SMO-01
